,Ohio Union (Northbound),Arps Hall,Blackburn House,Mason Hall,St. John Arena (Westbound),Mid West Campus (Westbound),Mount Hall Loop,Carmack 5 + Stop 1,Carmack 5 + Stop 2,Research Center,Kinnear Road Lot,Blankenship Hall,Mid West Campus (Eastbound),St. John East Bound,Knowlton Hall,Fontana Lab,High and 15th,12th + College (Westbound),Siebert Hall,Mack Hall,Herrick Transit Hub,11th and Worthington,Stadium and RPAC,Campbell Hall,Bricker Hall
Ohio Union (Northbound),0,106,158,207,299,325,477,519,553,448,406,444,390,283,215,171,151,38,114,143,206,127,192,151,117
Arps Hall,100,0,52,101,193,219,371,413,448,430,388,358,366,177,109,65,128,139,215,244,307,228,153,251,79
Blackburn House,153,53,0,49,141,167,319,361,395,378,336,305,314,125,57,13,131,191,268,296,354,281,134,304,131
Mason Hall,206,106,53,0,92,118,270,312,347,329,287,256,265,76,8,39,184,244,320,349,305,334,85,357,164
St. John Arena (Westbound),318,218,165,112,0,59,211,253,288,270,228,197,262,31,104,152,296,357,434,376,246,435,138,343,217
Mid West Campus (Westbound),402,351,298,245,267,0,152,195,229,211,169,139,203,244,236,285,386,393,375,317,187,377,269,284,348
Mount Hall Loop,498,398,345,292,233,367,0,145,179,209,167,105,170,211,283,332,476,488,471,412,282,472,317,379,396
Carmack 5 + Stop 1,514,414,361,308,249,383,124,0,69,115,166,121,185,227,299,347,541,504,487,428,298,488,333,395,412
Carmack 5 + Stop 2,570,469,417,364,305,439,180,59,0,171,222,177,241,282,355,403,596,560,542,484,354,544,389,451,468
Research Center,475,443,390,337,278,412,205,140,174,0,50,150,214,256,328,376,572,466,448,390,260,450,362,357,441
Kinnear Road Lot,425,392,339,286,228,362,155,182,216,42,0,100,164,205,278,326,521,415,398,339,209,399,312,306,391
Blankenship Hall,393,293,240,187,128,262,314,342,377,301,259,0,64,106,178,226,371,383,366,307,177,367,212,274,291
Mid West Campus (Eastbound),328,228,176,123,64,198,350,392,426,409,367,336,0,41,114,162,306,367,443,472,376,456,148,472,227
St. John East Bound,287,187,134,81,34,42,194,237,271,253,212,181,245,0,73,121,265,326,402,359,229,415,107,326,186
Knowlton Hall,215,114,62,9,85,110,262,305,339,321,280,249,257,68,0,48,192,253,329,358,297,343,77,366,156
Fontana Lab,165,65,13,35,128,153,305,348,382,364,323,292,300,111,43,0,143,204,280,309,340,293,120,317,144
High and 15th,116,150,152,201,293,319,471,513,547,518,476,490,405,277,209,165,0,82,165,214,276,179,286,221,234
12th + College (Westbound),34,141,193,242,334,360,463,506,540,436,394,432,378,317,250,206,113,0,104,132,194,117,227,139,152
Siebert Hall,163,269,322,370,446,488,467,510,544,440,398,436,382,423,378,335,258,155,0,80,198,1,356,143,281
Mack Hall,139,245,297,346,365,451,387,429,463,359,318,356,301,343,354,310,242,129,58,0,118,60,331,62,257
Herrick Transit Hub,214,321,327,274,247,332,268,311,345,241,199,237,183,224,266,314,318,205,187,129,0,189,299,96,332
11th and Worthington,162,268,320,369,462,487,571,613,647,512,470,516,466,445,377,333,256,154,117,164,282,0,354,227,280
Stadium and RPAC,191,158,152,99,132,158,310,352,386,369,327,296,306,115,90,138,282,229,305,334,344,319,0,342,79
Campbell Hall,152,259,311,360,337,423,359,401,435,331,290,328,273,315,368,324,256,143,126,67,90,127,345,0,270
Bricker Hall,112,80,132,173,207,232,384,427,461,444,402,371,381,190,165,145,207,150,226,255,318,240,75,263,0
